entry_time,entry_price,requested_price,sl_price,tp_price,trade_type,reason,lot_size,commission,spread_pips,slippage_pips,status,level_type,level_price,exit_time,exit_price,requested_exit_price,exit_spread_pips,exit_slippage_pips,net_pnl,pnl_pips,win,day_of_week,holding_period_mins,sl_pips,equity,running_max,drawdown
2025-08-04 03:45:00,1.1573281115553924,1.1577,1.1582599999999998,1.1558281115553923,SELL,Break below prev_d_low,0.5365449082380442,1.877907178833155,2.0172012889946918,1.7016831570798798,CLOSED,prev_d_low,1.15776,2025-08-04 04:15:00,1.1584646892336314,1.1582599999999998,1.753666107878259,0.2932262284381084,-62.860403786451094,-11.36577678239048,False,Monday,30.0,9.318884446074538,9937.139596213548,9937.139596213548,0.0
2025-08-04 04:45:00,1.1573866265152877,1.15774,1.1582599999999998,1.1558866265152876,SELL,Break below prev_d_low,0.5688940510650174,1.9911291787275611,2.2870088083877063,1.2467260387348122,CLOSED,prev_d_low,1.15776,2025-08-04 06:30:00,1.158685152651815,1.1582599999999998,2.987293437559668,1.264233080590102,-75.86350860100723,-12.98526136527256,False,Monday,105.0,8.7337348471217,9861.276087612541,9937.139596213548,75.8635086010072
2025-08-04 06:30:00,1.1564517600914073,1.15671,1.1582599999999998,1.1549517600914072,SELL,Break below prev_d_low,0.2726760990273669,0.9543663465957841,2.3613311353681152,0.22106795055876072,CLOSED,prev_d_low,1.15776,2025-08-04 08:45:00,1.15524950802382,1.1549517600914072,2.6117832308736952,0.365696093253316,31.82817403712987,12.022520675871728,True,Monday,135.0,18.082399085925793,9893.10426164967,9937.139596213548,44.03533456387777
2025-08-04 11:30:00,1.1573033196256162,1.1576,1.1582599999999998,1.155803319625616,SELL,Break below prev_d_low,0.5170537896746915,1.8096882638614202,2.106795417806094,0.8600083260319926,CLOSED,prev_d_low,1.15776,2025-08-04 12:30:00,1.1585229055813806,1.1582599999999998,1.7977100023855517,0.8313458114225758,-64.8688422900646,-12.19585955764435,False,Monday,60.0,9.566803743836783,9828.235419359607,9937.139596213548,108.90417685394095
2025-08-04 13:00:00,1.157252843761563,1.15754,1.1582599999999998,1.155752843761563,SELL,Break below prev_d_low,0.4879200984056654,1.707720344419829,2.5569983508648404,0.31456403350570006,CLOSED,prev_d_low,1.15776,2025-08-04 13:15:00,1.1585089019930206,1.1582599999999998,1.2710448055922208,1.2179751246154273,-62.99332593402266,-12.560582314575797,False,Monday,15.0,10.071562384368349,9765.242093425584,9937.139596213548,171.89750278796419
2025-08-05 05:45:00,1.1544879344962802,1.15479,1.15541,1.1529879344962801,SELL,Break below prev_d_low,0.5295308225950247,1.8533578790825864,1.5981735659114131,1.4224814712861766,CLOSED,prev_d_low,1.15491,2025-08-05 06:30:00,1.15565236252874,1.15541,1.9268629792109329,0.49676230818955047,-63.51341126720034,-11.644280324598633,False,Tuesday,45.0,9.22065503719871,9701.728682158384,9937.139596213548,235.41091405516454
2025-08-05 07:00:00,1.1545412166262883,1.15489,1.15541,1.1530412166262882,SELL,Break below prev_d_low,0.5583514242859509,1.954229985000828,2.2534764768593676,1.2343572602578308,CLOSED,prev_d_low,1.15491,2025-08-05 07:15:00,1.1555861179490965,1.15541,1.4902897395361,0.2708897514272952,-60.29644416782473,-10.449013228082116,False,Tuesday,15.0,8.687833737117678,9641.432237990559,9937.139596213548,295.70735822298957
2025-08-05 08:00:00,1.1540251162877109,1.15424,1.15541,1.1525251162877108,SELL,Break below prev_d_low,0.34809537264517065,1.2183338042580973,1.0589989199485437,1.0898382029417755,CLOSED,prev_d_low,1.15491,2025-08-05 14:00:00,1.1558643925466456,1.15541,2.843343014252034,1.700582452204112,-65.24268927938927,-18.392762589347633,False,Tuesday,360.0,13.848837122891755,9576.18954871117,9937.139596213548,360.95004750237786
2025-08-05 13:45:00,1.1544999150451207,1.15484,1.15541,1.1529999150451207,SELL,Break below prev_d_low,0.5296995728969632,1.8539485051393714,2.4390944093110924,0.9617551394828168,CLOSED,prev_d_low,1.15491,2025-08-05 14:00:00,1.1557066100486955,1.15541,2.7315890777481067,0.23451140920404234,-65.77253130618286,-12.066950035747315,False,Tuesday,15.0,9.1008495487932,9510.417017404987,9937.139596213548,426.7225788085616
2025-08-06 10:30:00,1.1592006134482749,1.15949,1.16017,1.1577006134482748,SELL,Break below prev_w_high,0.4905379077356049,1.7168826770746173,2.8195653956508426,0.0743001215989949,CLOSED,prev_w_high,1.15967,2025-08-06 10:45:00,1.1604684440224726,1.16017,2.789545023629569,0.1948952010974483,-63.908778400095095,-12.678305741977702,False,Wednesday,15.0,9.69386551725071,9446.508239004892,9937.139596213548,490.6313572086565
