entry_time,entry_price,sl_price,tp_price,partial_tp_price,trade_type,reason,lot_size,original_lot_size,status,partial_pnl,commission,exit_time,exit_price,net_pnl,win,day_of_week,holding_period_mins,sl_pips,equity,running_max,drawdown,streak_counter,sl_range
2025-08-01 09:00:00,1.14114,1.1424299999999998,1.1403400000000001,1.1398500000000003,SELL,Momentum short,0.3875968992248689,0.3875968992248689,CLOSED,0.0,1.356589147287041,2025-08-01 09:45:00,1.14114,-1.356589147287041,False,Friday,45.0,12.899999999997913,9998.643410852714,9998.643410852714,0.0,1,10-15 pips
2025-08-01 10:30:00,1.1411,1.13981,1.1419,1.14239,BUY,Momentum long,0.38759689922480217,0.38759689922480217,CLOSED,0.0,1.3565891472868077,2025-08-01 11:15:00,1.1411,-1.3565891472868077,False,Friday,45.0,12.900000000000134,9997.286821705426,9998.643410852714,1.3565891472881049,1,10-15 pips
2025-08-01 12:45:00,1.13974,1.13859,1.1405399999999999,1.14089,BUY,Momentum long,0.4347826086956581,0.4347826086956581,CLOSED,0.0,1.5217391304348034,2025-08-01 12:30:00,1.1405399999999999,33.260869565214016,True,Friday,-15.0,11.499999999999844,10030.54769127064,10030.54769127064,0.0,2,10-15 pips
2025-08-01 12:30:00,1.14534,1.13859,1.14614,1.15209,BUY,False Break long,0.0740740740740737,0.0740740740740737,CLOSED,0.0,0.2592592592592579,2025-08-01 13:15:00,1.14534,-0.2592592592592579,False,Friday,45.0,67.50000000000034,10030.28843201138,10030.54769127064,0.2592592592591245,3,20+ pips
2025-08-01 13:45:00,1.15693,1.15384,1.15773,1.16002,BUY,Momentum long,0.16237512311805063,0.16237512311805063,CLOSED,0.0,0.5683129309131772,2025-08-01 14:30:00,1.15693,-0.5683129309131772,False,Friday,45.0,30.90000000000037,10029.720119080468,10030.54769127064,0.8275721901718498,3,20+ pips
2025-08-01 15:15:00,1.15556,1.15729,1.15476,1.15383,SELL,Momentum short,0.2900226187484276,0.2900226187484276,CLOSED,0.0,1.0150791656194966,2025-08-01 16:00:00,1.15556,-1.0150791656194966,False,Friday,45.0,17.300000000000093,10028.705039914848,10030.54769127064,1.8426513557915314,3,15-20 pips
2025-08-01 16:45:00,1.15446,1.15695,1.1536600000000001,1.1519700000000002,SELL,Momentum short,0.20150165880915918,0.20150165880915918,CLOSED,0.0,0.7052558058320572,2025-08-04 08:00:00,1.15446,-0.7052558058320572,False,Friday,3795.0,24.899999999998812,10027.999784109015,10030.54769127064,2.5479071616246074,3,20+ pips
2025-08-04 09:30:00,1.15679,1.15499,1.15759,1.15859,BUY,Momentum long,0.2787439613526532,0.2787439613526532,CLOSED,0.0,0.9756038647342863,2025-08-04 10:15:00,1.15679,-0.9756038647342863,False,Monday,45.0,18.000000000000238,10027.024180244282,10030.54769127064,3.523511026358392,3,15-20 pips
2025-08-04 11:15:00,1.15734,1.1555900000000001,1.15814,1.15909,BUY,Momentum long,0.2867080745341748,0.2867080745341748,CLOSED,0.0,1.0034782608696118,2025-08-04 12:00:00,1.15734,-1.0034782608696118,False,Monday,45.0,17.499999999999183,10026.020701983412,10030.54769127064,4.5269892872274795,3,15-20 pips
2025-08-04 12:30:00,1.1582,1.15613,1.1589999999999998,1.1602699999999997,BUY,False Break long,0.24238605335016053,0.24238605335016053,CLOSED,0.0,0.8483511867255619,2025-08-04 13:15:00,1.1582,-0.8483511867255619,False,Monday,45.0,20.699999999997942,10025.172350796687,10030.54769127064,5.375340473952747,3,20+ pips
2025-08-04 12:45:00,1.15836,1.15613,1.15916,1.16059,BUY,Momentum long,0.22499512575551245,0.22499512575551245,CLOSED,0.0,0.7874829401442935,2025-08-04 13:30:00,1.15836,-0.7874829401442935,False,Monday,45.0,22.299999999999542,10024.384867856543,10030.54769127064,6.162823414097147,3,20+ pips
2025-08-04 14:00:00,1.15791,1.15675,1.15871,1.15907,BUY,False Break long,0.43253373313341453,0.43253373313341453,CLOSED,0.0,1.5138680659669508,2025-08-04 14:45:00,1.15791,-1.5138680659669508,False,Monday,45.0,11.600000000000499,10022.870999790575,10030.54769127064,7.676691480064619,3,10-15 pips
2025-08-04 16:30:00,1.15638,1.15744,1.15558,1.15532,SELL,Momentum short,0.4733388022969374,0.4733388022969374,CLOSED,0.0,1.656685808039281,2025-08-05 08:00:00,1.15638,-1.656685808039281,False,Monday,930.0,10.600000000000609,10021.214313982537,10030.54769127064,9.333377288103293,3,10-15 pips
2025-08-05 09:00:00,1.15347,1.1546999999999998,1.15267,1.1522400000000002,SELL,Momentum short,0.40791799222345265,0.40791799222345265,CLOSED,0.0,1.4277129727820843,2025-08-05 09:45:00,1.15347,-1.4277129727820843,False,Tuesday,45.0,12.299999999998423,10019.786601009753,10030.54769127064,10.761090260886704,3,10-15 pips
