entry_time,entry_price,sl_price,tp_price,partial_tp_price,trade_type,reason,lot_size,original_lot_size,status,partial_pnl,commission,exit_time,exit_price,net_pnl,win,day_of_week,holding_period_mins,sl_pips,equity,running_max,drawdown,sl_range
2025-08-01 02:00:00,1.1406704247782546,1.14136,1.14016,1.1399808495565094,SELL,Sweep above Prev_D_High,0.7250840578849693,0.7250840578849693,CLOSED,0.0,2.5377942025973925,2025-08-01 02:15:00,1.14136,-52.53779420259739,False,Friday,15.0,6.895752217452866,9947.462205797403,9947.462205797403,0.0,5-10 pips
2025-08-01 03:15:00,1.1421191855289718,1.1414600000000001,1.14266,1.1427783710579436,BUY,Sweep below Prev_D_Low,0.7547192378086228,0.7547192378086228,CLOSED,0.0,2.6415173323301797,2025-08-01 03:15:00,1.1414600000000001,-52.39151733233018,False,Friday,0.0,6.5918552897170635,9895.070688465072,9947.462205797403,52.391517332331205,5-10 pips
2025-08-01 03:30:00,1.1414007771053885,1.1420299999999999,1.14083,1.140771554210777,SELL,Sweep above Prev_D_High,0.7867045275040309,0.7867045275040309,CLOSED,0.0,2.753465846264108,2025-08-01 04:00:00,1.1420299999999999,-52.254715846264105,False,Friday,30.0,6.292228946114253,9842.815972618808,9947.462205797403,104.64623317859514,5-10 pips
2025-08-01 04:15:00,1.1420865531752509,1.14141,1.14261,1.1427631063505017,BUY,Sweep below Prev_D_Low,0.7280099414467864,0.7280099414467864,CLOSED,0.0,2.5480347950637525,2025-08-04 02:00:00,1.14261,35.559414428541,True,Friday,4185.0,6.76553175250838,9878.37538704735,9947.462205797403,69.08681875005277,5-10 pips
2025-08-04 03:00:00,1.1579684481401467,1.15727,1.1584699999999999,1.1586668962802933,BUY,Sweep below Prev_D_Low,0.7079162811678118,0.7079162811678118,CLOSED,0.0,2.4777069840873414,2025-08-04 03:00:00,1.15727,-51.921987980205365,False,Monday,0.0,6.984481401466347,9826.453399067144,9947.462205797403,121.00880673025858,5-10 pips
2025-08-04 03:15:00,1.1584937700230074,1.15782,1.15902,1.1591675400460146,BUY,Sweep below Prev_D_Low,0.7301758450391287,0.7301758450391287,CLOSED,0.0,2.5556154576369505,2025-08-04 03:15:00,1.15782,-51.752675048774385,False,Monday,0.0,6.737700230072807,9774.70072401837,9947.462205797403,172.7614817790327,5-10 pips
2025-08-04 04:00:00,1.1579958463362354,1.15731,1.15851,1.1586816926724708,BUY,Sweep below Prev_D_Low,0.7137323873723098,0.7137323873723098,CLOSED,0.0,2.4980633558030845,2025-08-05 02:00:00,1.15731,-51.44913764898483,False,Monday,1320.0,6.858463362353628,9723.251586369384,9947.462205797403,224.21061942801862,5-10 pips
2025-08-04 04:15:00,1.15835150607806,1.15767,1.1588699999999998,1.15903301215612,BUY,Sweep below Prev_D_Low,0.7182778828990576,0.7182778828990576,CLOSED,0.0,2.5139725901467016,2025-08-05 02:00:00,1.15767,-51.46504688332845,False,Monday,1305.0,6.815060780600568,9671.786539486056,9947.462205797403,275.6756663113465,5-10 pips
2025-08-05 06:30:00,1.155581418094549,1.15494,1.15614,1.1562228361890978,BUY,Sweep below Prev_D_Low,0.7555378303497073,0.7555378303497073,CLOSED,0.0,2.6443824062239756,2025-08-05 06:30:00,1.15494,-51.10594595647391,False,Tuesday,0.0,6.414180945488734,9620.680593529582,9947.462205797403,326.7816122678214,5-10 pips
2025-08-05 06:45:00,1.1552342417603538,1.1545800000000002,1.15578,1.1558884835207075,BUY,Sweep below Prev_D_Low,0.7370250365313337,0.7370250365313337,CLOSED,0.0,2.579587627859668,2025-08-05 07:00:00,1.1545800000000002,-50.79884336035835,False,Tuesday,15.0,6.542417603536688,9569.881750169225,9947.462205797403,377.58045562817824,5-10 pips
2025-08-05 07:15:00,1.1559729310413487,1.15533,1.1565299999999998,1.1566158620826974,BUY,Sweep below Prev_D_Low,0.7462411420234041,0.7462411420234041,CLOSED,0.0,2.6118439970819143,2025-08-05 07:15:00,1.15533,-50.590003450918104,False,Tuesday,0.0,6.429310413487155,9519.291746718305,9947.462205797403,428.1704590790978,5-10 pips
2025-08-05 07:30:00,1.1561578770288439,1.15544,1.15664,1.1568757540576877,BUY,Sweep below Prev_D_Low,0.6649922861224591,0.6649922861224591,CLOSED,0.0,2.327473001428607,2025-08-06 02:00:00,1.15664,29.733332676690686,True,Tuesday,1110.0,7.178770288438496,9549.025079394996,9947.462205797403,398.43712640240665,5-10 pips
2025-08-06 07:00:00,1.1575744242513841,1.1582,1.157,1.1569488485027684,SELL,Sweep above Prev_D_High,0.765671827767368,0.765671827767368,CLOSED,0.0,2.679851397185788,2025-08-06 07:00:00,1.1582,-50.578424082143385,False,Wednesday,0.0,6.255757486157698,9498.446655312853,9947.462205797403,449.01555048454975,5-10 pips
2025-08-06 10:15:00,1.1605730217158847,1.15989,1.16109,1.1612560434317694,BUY,Breakout above Prev_D_High,0.6977681487008913,0.6977681487008913,CLOSED,0.0,2.4421885204531195,2025-08-06 10:15:00,1.15989,-50.10126834198593,False,Wednesday,0.0,6.830217158846352,9448.345386970866,9947.462205797403,499.1168188265365,5-10 pips
2025-08-06 10:30:00,1.1596776613873079,1.15899,1.1601899999999998,1.1603653227746158,BUY,Sweep below Prev_W_High,0.6895949852305951,0.6895949852305951,CLOSED,0.0,2.413582448307083,2025-08-06 10:30:00,1.1601899999999998,32.91703135693007,True,Wednesday,0.0,6.87661387307914,9481.262418327797,9947.462205797403,466.19978746960624,5-10 pips
2025-08-07 04:15:00,1.1670955983793148,1.16641,1.1676099999999998,1.1677811967586296,BUY,Breakout above Prev_D_High,0.6942466453759756,0.6942466453759756,CLOSED,0.0,2.4298632588159146,2025-08-07 04:15:00,1.16641,-50.02730075026725,False,Thursday,0.0,6.855983793148113,9431.23511757753,9947.462205797403,516.2270882198736,5-10 pips
2025-08-07 10:15:00,1.1660841910497723,1.16675,1.16555,1.1654183820995447,SELL,Sweep above Prev_D_High,0.7113069039970717,0.7113069039970717,CLOSED,0.0,2.4895741639897513,2025-08-07 10:15:00,1.16675,-49.84902446798383,False,Thursday,0.0,6.658089502276088,9381.386093109546,9947.462205797403,566.076112687857,5-10 pips
