time,open,high,low,close,tick_volume,spread,real_volume
2025-08-01 00:00:00,1.14213,1.14215,1.14188,1.14191,69,9,0
2025-08-01 00:01:00,1.14189,1.14189,1.14152,1.14164,67,9,0
2025-08-01 00:02:00,1.14161,1.14179,1.14158,1.14172,62,9,0
2025-08-01 00:03:00,1.14173,1.14205,1.14173,1.14203,34,9,0
2025-08-01 00:04:00,1.14205,1.14205,1.14173,1.14177,54,9,0
2025-08-01 00:05:00,1.14177,1.1419,1.14166,1.1419,39,9,0
2025-08-01 00:06:00,1.14191,1.14211,1.14181,1.14209,52,9,0
2025-08-01 00:07:00,1.1421000000000001,1.14211,1.14175,1.14176,57,9,0
2025-08-01 00:08:00,1.14174,1.14184,1.14172,1.1418,31,9,0
2025-08-01 00:09:00,1.1418,1.1419,1.14172,1.14186,30,9,0
2025-08-01 00:10:00,1.14186,1.14194,1.14169,1.14192,60,9,0
2025-08-01 00:11:00,1.14194,1.14212,1.14194,1.1421000000000001,42,9,0
2025-08-01 00:12:00,1.1421000000000001,1.14222,1.14206,1.14213,44,9,0
2025-08-01 00:13:00,1.14214,1.1421999999999999,1.14202,1.14219,40,9,0
2025-08-01 00:14:00,1.14218,1.14233,1.14211,1.14231,45,9,0
2025-08-01 00:15:00,1.14228,1.14232,1.14214,1.14226,57,9,0
2025-08-01 00:16:00,1.14223,1.1424400000000001,1.1421999999999999,1.14237,56,9,0
2025-08-01 00:17:00,1.14237,1.1424400000000001,1.14218,1.14235,65,9,0
2025-08-01 00:18:00,1.14235,1.14235,1.14199,1.14209,46,9,0
2025-08-01 00:19:00,1.14208,1.14221,1.14204,1.14221,33,9,0
2025-08-01 00:20:00,1.14223,1.14232,1.14213,1.14217,52,9,0
2025-08-01 00:21:00,1.14216,1.14219,1.14212,1.14216,17,9,0
2025-08-01 00:22:00,1.14217,1.14238,1.14211,1.14234,45,9,0
2025-08-01 00:23:00,1.14236,1.1425,1.14233,1.14234,41,9,0
2025-08-01 00:24:00,1.14236,1.14236,1.14215,1.14228,43,9,0
2025-08-01 00:25:00,1.14228,1.14228,1.14211,1.14213,37,9,0
2025-08-01 00:26:00,1.14212,1.14239,1.14212,1.14233,46,9,0
2025-08-01 00:27:00,1.14234,1.14236,1.14191,1.14236,96,9,0
2025-08-01 00:28:00,1.14237,1.14242,1.14232,1.14236,40,9,0
