entry_time,entry_price,sl_price,tp_price,trade_type,reason,lot_size,commission,spread_cost,status,level_price,level_type,exit_time,exit_price,exit_reason,net_pnl,gross_pnl,win,day_of_week,holding_period_mins,sl_pips,equity,running_max,drawdown,streak_counter,sl_range
2025-08-01 00:15:00,1.142378928923835,1.14165,1.14376,BUY,Break_Above_Prev_D_High,0.6859379339338191,2.4007827687683667,9.442999492123558,CLOSED,1.14215,prev_d_high,2025-08-01 00:15:00,1.1415070318390241,SL,-71.65051075670597,-59.80672849581404,False,Friday,0.0,7.2892892383502605,9928.349489243294,9928.349489243294,0.0,1,5-10 pips
2025-08-01 00:30:00,1.1425393890721807,1.14165,1.14396,BUY,Break_Above_Prev_D_High,0.5581326816082591,1.953464385628907,8.550353387533917,CLOSED,1.14215,prev_d_high,2025-08-01 01:45:00,1.141558054701994,SL,-65.27529613183225,-54.771478358669434,False,Friday,75.0,8.89389072180613,9863.074193111463,9928.349489243294,65.27529613183106,1,5-10 pips
2025-08-01 00:45:00,1.1426964960679429,1.14165,1.1441000000000001,BUY,Break_Above_Prev_D_High,0.47382135373605005,1.658374738076175,5.047036899097004,CLOSED,1.14215,prev_d_high,2025-08-01 01:45:00,1.141552621171618,SL,-60.904646825304994,-54.199235188131816,False,Friday,60.0,10.464960679428259,9802.169546286157,9928.349489243294,126.17994295713652,1,10-15 pips
2025-08-01 00:45:00,1.1424722743134232,1.16017,1.1411,SELL,Break_Below_Prev_W_High,0.02799890346283889,0.09799616211993611,0.665732812851672,CLOSED,1.15967,prev_w_high,2025-08-01 01:45:00,1.14119096347704,TP,2.823800866406551,3.587529841378159,True,Friday,60.0,176.9772568657668,9804.993347152564,9928.349489243294,123.35614209072992,2,20+ pips
2025-08-01 01:00:00,1.1423237837832299,1.14165,1.14376,BUY,Break_Above_Prev_D_High,0.7353675450400834,2.573786407640292,13.281271998603312,CLOSED,1.14215,prev_d_high,2025-08-01 01:45:00,1.1415814250749494,SL,-70.44570849097454,-54.59065008473094,False,Friday,45.0,6.737837832297977,9734.547638661588,9928.349489243294,193.80185058170537,3,5-10 pips
2025-08-01 01:15:00,1.1427647597367911,1.14165,1.1441700000000001,BUY,Break_Above_Prev_D_High,0.44373775729096876,1.5530821505183907,10.47219764577248,CLOSED,1.14215,prev_d_high,2025-08-01 01:45:00,1.14152720765965,SL,-66.94013812042566,-54.91485832413479,False,Friday,30.0,11.147597367910933,9667.607500541164,9928.349489243294,260.7419887021297,3,10-15 pips
2025-08-01 01:15:00,1.1425987894483898,1.16017,1.14117,SELL,Break_Below_Prev_W_High,0.02811756879703785,0.09841149078963247,0.7853460999009595,CLOSED,1.15967,prev_w_high,2025-08-01 01:45:00,1.1412764402653204,TP,2.8343668221754545,3.7181244128660467,True,Friday,30.0,175.7121055161015,9670.441867363339,9928.349489243294,257.9076218799546,4,20+ pips
2025-08-01 01:30:00,1.1423983597236957,1.14165,1.1438000000000001,BUY,Break_Above_Prev_D_High,0.6601311080892499,2.3104588783123745,19.04057163371616,CLOSED,1.14215,prev_d_high,2025-08-01 01:45:00,1.141591875983287,SL,-74.58953103322456,-53.23850052119602,False,Friday,15.0,7.483597236956907,9595.852336330114,9928.349489243294,332.4971529131799,5,5-10 pips
2025-08-01 01:30:00,1.142176711715711,1.16017,1.1408,SELL,Break_Below_Prev_W_High,0.02739621431828116,0.09588675011398407,0.37751594223294016,CLOSED,1.15967,prev_w_high,2025-08-01 02:00:00,1.140902049580684,TP,3.0186890111122953,3.492091703459219,True,Friday,30.0,179.9328828428903,9598.871025341226,9928.349489243294,329.47846390206723,6,20+ pips
2025-08-01 01:00:00,1.1422088377291464,1.16017,1.14076,SELL,Break_Below_Prev_W_High,0.02754198008911457,0.096396930311901,0.40336545475823915,CLOSED,1.15967,prev_w_high,2025-08-01 02:00:00,1.1408260470936273,TP,3.3087168300178327,3.808479215087973,True,Friday,60.0,179.61162270853535,9602.179742171244,9928.349489243294,326.1697470720501,6,20+ pips
